stimulus1,stimulus2,word1,word2,emotion1,emotion2,speaker1,speaker2,speaker1_ID,speaker2_ID,condition,participantID,gender
s901_w20_h.wav,s901_w19_n.wav,20,19,h,n,self,self,901,901,sameSelf,1,female
s921_w17_s.wav,s921_w05_n.wav,17,05,s,n,otherA,otherA,921,921,sameOther,1,female
s920_w06_h.wav,s921_w14_n.wav,06,14,h,n,otherB,otherA,920,921,diffOther,1,female
s921_w15_n.wav,s921_w18_h.wav,15,18,n,h,otherA,otherA,921,921,sameOther,1,female
s901_w07_n.wav,s921_w11_n.wav,07,11,n,n,self,otherA,901,921,diffSelf,1,female
s920_w01_s.wav,s921_w13_n.wav,01,13,s,n,otherB,otherA,920,921,diffOther,1,female
s921_w07_n.wav,s920_w09_n.wav,07,09,n,n,otherA,otherB,921,920,diffOther,1,female
s901_w05_n.wav,s921_w19_n.wav,05,19,n,n,self,otherA,901,921,diffSelf,1,female
s920_w15_n.wav,s920_w07_s.wav,15,07,n,s,otherB,otherB,920,920,sameOther,1,female
s921_w14_n.wav,s921_w18_n.wav,14,18,n,n,otherA,otherA,921,921,sameOther,1,female
s920_w20_n.wav,s921_w03_h.wav,20,03,n,h,otherB,otherA,920,921,diffOther,1,female
s901_w08_n.wav,s901_w05_n.wav,08,05,n,n,self,self,901,901,sameSelf,1,female
s920_w07_h.wav,s920_w01_n.wav,07,01,h,n,otherB,otherB,920,920,sameOther,1,female
s901_w15_s.wav,s901_w19_n.wav,15,19,s,n,self,self,901,901,sameSelf,1,female
s921_w16_n.wav,s901_w15_s.wav,16,15,n,s,otherA,self,921,901,diffSelf,1,female
s920_w06_n.wav,s901_w08_n.wav,06,08,n,n,otherB,self,920,901,diffSelf,1,female
s921_w05_n.wav,s901_w12_s.wav,05,12,n,s,otherA,self,921,901,diffSelf,1,female
s920_w02_n.wav,s901_w20_n.wav,02,20,n,n,otherB,self,920,901,diffSelf,1,female
s921_w19_n.wav,s921_w17_n.wav,19,17,n,n,otherA,otherA,921,921,sameOther,1,female
s920_w16_n.wav,s921_w10_n.wav,16,10,n,n,otherB,otherA,920,921,diffOther,1,female
s901_w13_n.wav,s901_w08_h.wav,13,08,n,h,self,self,901,901,sameSelf,1,female
s921_w17_s.wav,s920_w18_n.wav,17,18,s,n,otherA,otherB,921,920,diffOther,1,female
s921_w04_s.wav,s921_w15_n.wav,04,15,s,n,otherA,otherA,921,921,sameOther,1,female
s921_w18_n.wav,s901_w20_h.wav,18,20,n,h,otherA,self,921,901,diffSelf,1,female
s920_w07_n.wav,s920_w09_n.wav,07,09,n,n,otherB,otherB,920,920,sameOther,1,female
